web-scraper-order,web-scraper-start-url,category_links,category_links-href,subcategory_links,subcategory_links-href,qdata
"1685438591-88","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","Is it safe? How?","https://famapp.in/faqs/question/ld0/fampay-is-it-safe-how","Yes, FamPay is secure. 
We don't blame you for thinking twice security, especially when it comes to trusting someone, or something with your money. Allow us to explain how FamPay is safe and secure for teens and families!

- We have 100% end to end secured systems
- We are partnered with IDFC First Bank (issuer bank)
- The accounts on FamPay are not linked to any bank account
- We offer maximum transparency and there are absolutely no hidden charges
- The FamCard has no numbers printed on the physical card, instead it is stored on the app, which makes it very secure.
- There’s no fear of card information getting misused in case it gets stolen or lost and the card can be paused, blocked and managed at your fingertips on the app.
- All transactions are device-lock protected
- Parents can choose to monitor your child's transactions
- Teens cannot add money by themselves, they can only request for money."
"1685438599-89","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","What are the perks of using FamPay?","https://famapp.in/faqs/question/GXV/fampay-what-are-the-perks-of-using-fampay","What are the perks of using FamPay?"
"1685438599-90","https://famapp.in/faqs","For kids","https://famapp.in/faqs/subcategory/forkids?title=For%20kids","What are the perks of using FamPay?","https://famapp.in/faqs/question/GXV/fampay-what-are-the-perks-of-using-fampay","So, you wanna know the perks of using FamPay? Disclaimer: Its a long answer! 😉

1. Say goodbye to cash - With FamPay, you get access to your FamCard, in just 2 mins without the need of a bank account. You can use FamCard for payments, it matches your vibe and style and you can get it personalized too! You can transfer money instantly and track your expenses on their fingertips!

2. Earn while you spend - With exciting reward schemes and discount and cashback offers on your favourite brands, FamPay gives more than you expected. You can also get brownie points (FamCoins) for every activity you do on the app which can be redeemed when you shop the next time!

3. Financial Independence- Having the independence of making payments by yourself, also gets you to start learning and exploring more about payments. With FamPay, you can save on the app, and also track your expenses, so you never have to worry about remembering where you are spending.

4. Financial Literacy- Apart from just helping you save and track money, we also help you understand the Do’s and Don’ts of Payments or why some of your payments get stuck and what should you do in such situations. We understand that this is your first step towards digital payments and we want to be as helpful as possible.

5. Community of Like-minded teens- Most other popular payments apps do not focus on just teens, they focus on the overall segment of users. But FamPay is specially made for teenagers, first of its kind in India. In order to give you an amazing experience, we have created a community of teens, where you can participate, learn, earn and grow! Along with workshops, programs and events tailor made for you, we also provide activities and information that you will find interesting. In our app, we have launched ‘Club’ for teens like you, where you can get all updates on our community, play exciting quizzes and also get information about other teen ventures!"
"1685438615-91","https://famapp.in/faqs","For parents","https://famapp.in/faqs/subcategory/forparents?title=For%20parents","Can my kid add money?","https://famapp.in/faqs/question/Yqw/fampay-can-my-kid-add-money","Can my kid add money?"
"1685438615-92","https://famapp.in/faqs","For parents","https://famapp.in/faqs/subcategory/forparents?title=For%20parents","Can my kid add money?","https://famapp.in/faqs/question/Yqw/fampay-can-my-kid-add-money","Your kid can request money through UPI. They can also, add money using debit cards and netbanking after taking your permission."
"1685438623-93","https://famapp.in/faqs","For parents","https://famapp.in/faqs/subcategory/forparents?title=For%20parents","Can I know where the card money was expended?","https://famapp.in/faqs/question/zeA/fampay-can-i-know-where-the-card-money-was-expended","Can I know where the card money was expended?"
"1685438623-94","https://famapp.in/faqs","For parents","https://famapp.in/faqs/subcategory/forparents?title=For%20parents","Can I know where the card money was expended?","https://famapp.in/faqs/question/zeA/fampay-can-i-know-where-the-card-money-was-expended","Yes, you can view the names of FamPay friends and registered names of merchants for transactions made with them."
"1685438631-95","https://famapp.in/faqs","For parents","https://famapp.in/faqs/subcategory/forparents?title=For%20parents","How do I get started on FamPay?","https://famapp.in/faqs/question/3kM/fampay-how-do-i-get-started-on-fampay","How do I get started on FamPay?"
"1685438631-96","https://famapp.in/faqs","For parents","https://famapp.in/faqs/subcategory/forparents?title=For%20parents","How do I get started on FamPay?","https://famapp.in/faqs/question/3kM/fampay-how-do-i-get-started-on-fampay","Its really simple to start using FamPay. 
- Download the app, and setup your account with the necessary KYC verification. 
- Invite your child and get them to complete their KYC verification too. 
- Load their FamPay prepaid account online instead of giving cash/your cards/OTPs and get them to spend, save and learn!"
"1685438639-97","https://famapp.in/faqs","For parents","https://famapp.in/faqs/subcategory/forparents?title=For%20parents","Why do I need FamPay?","https://famapp.in/faqs/question/Ol7/fampay-why-do-i-need-fampay","Why do I need FamPay?"
"1685438639-98","https://famapp.in/faqs","For parents","https://famapp.in/faqs/subcategory/forparents?title=For%20parents","Why do I need FamPay?","https://famapp.in/faqs/question/Ol7/fampay-why-do-i-need-fampay","Have you ever had to - 

- search for the OTP in the middle of a meeting to give to your teen who is shopping online/ offline?
- run to the ATM when you ran out of cash to give to your teen for their school project/book fees? 
- worry about giving your debit/credit card to your teen when they were going on a class trip? 

If yes, FamPay can help solve all your problems. 
With FamPay, your teen gets their own FamCard (numberless prepaid card). You can load their account anytime online, and they can shop online/offline, anytime, anywhere, under your supervision. You can track their expenses as well."
"1685438655-99","https://famapp.in/faqs","About Us","https://famapp.in/faqs/subcategory/about-us?title=About%20Us","What is FamPay's mission?","https://famapp.in/faqs/question/082/fampay-what-is-fampays-mission","What is FamPay's mission?"
"1685438655-100","https://famapp.in/faqs","About Us","https://famapp.in/faqs/subcategory/about-us?title=About%20Us","What is FamPay's mission?","https://famapp.in/faqs/question/082/fampay-what-is-fampays-mission","Over 300 million adults (age 18+) in India pay digitally, but 250 million minors (age 11-18) can not, despite having smartphones, internet and being tech savvy. Minors are still forced to use cash or use their parents debit/credit cards for payments. Over 80% of teens love shopping online but 67% of them are forced to use cash and 52% use parents cards/ payment apps.

FamPay is solving this problem by helping teens make payments online/offline independently under their parents supervision, without the need of a bank account. As part of our mission, we are raising a new, financially aware generation of Indians who understand the fundamentals of personal finance and are capable of making decisions in their best long term interest."
"1685438663-101","https://famapp.in/faqs","About Us","https://famapp.in/faqs/subcategory/about-us?title=About%20Us","Who is it for?","https://famapp.in/faqs/question/KNr/fampay-who-is-it-for","Who is it for?"
"1685438663-102","https://famapp.in/faqs","About Us","https://famapp.in/faqs/subcategory/about-us?title=About%20Us","Who is it for?","https://famapp.in/faqs/question/KNr/fampay-who-is-it-for","FamPay is specially designed for teens and their families. Anyone of age 11 or above is eligible to setup a FamPay account. 
Teens (age 11-20) and Parents of Teens (age 35+) can create a FamPay account without an invite. If you are between 21 to 34 years of age, you need to have an invite to create a FamPay account."
"1685438671-103","https://famapp.in/faqs","About Us","https://famapp.in/faqs/subcategory/about-us?title=About%20Us","What is FamPay?","https://famapp.in/faqs/question/MK/fampay-what-is-fampay","What is FamPay?"
"1685438671-104","https://famapp.in/faqs","About Us","https://famapp.in/faqs/subcategory/about-us?title=About%20Us","What is FamPay?","https://famapp.in/faqs/question/MK/fampay-what-is-fampay","FamPay offers prepaid card payments for teenagers.
Up until now, only adults (age 18+) could make digital payments using online/mobile banking or payments apps. With FamPay and its numberless prepaid card, minors (below 18) can successfully make online and offline payments without the need to set up a bank account."
"1685438687-105","https://famapp.in/faqs","FamCard features","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","How do I use the card at offline stores?","https://famapp.in/faqs/question/NJY/fampay-how-do-i-use-the-card-at-offline-stores","How do I use the card at offline stores?"
"1685438687-106","https://famapp.in/faqs","FamCard features","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","How do I use the card at offline stores?","https://famapp.in/faqs/question/NJY/fampay-how-do-i-use-the-card-at-offline-stores","To use the card at offline stores, you need to order a physical card for yourself which can be used to swipe or tap for payments. Also, it's quite cool to carry. ;)"
"1685438695-107","https://famapp.in/faqs","FamCard features","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","Where can I use FamCard?","https://famapp.in/faqs/question/Oo/fampay-where-can-i-use-famcard","Where can I use FamCard?"
"1685438695-108","https://famapp.in/faqs","FamCard features","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","Where can I use FamCard?","https://famapp.in/faqs/question/Oo/fampay-where-can-i-use-famcard","You can swipe your FamCard or use the Tap N Pay feature in person or transfer money digitally on all your favourite sites, such as Amazon, Netflix, Zomato, Swiggy,  etc.
Book your movie tickets, get a cab, buy a gift, grab a snack! Wherever there's a fun-way, there's FamPay!"
"1685438703-109","https://famapp.in/faqs","FamCard features","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","What makes FamCard so special?","https://famapp.in/faqs/question/eV3/fampay-what-makes-famcard-so-special","What makes FamCard so special?"
"1685438703-110","https://famapp.in/faqs","FamCard features","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","What makes FamCard so special?","https://famapp.in/faqs/question/eV3/fampay-what-makes-famcard-so-special","Lots of things, but here goes a few!

Personalized and Trendy: Teens can get their favourite doodles and names personalized on the FamCard in a signature-like style. So, if you wanna be named Batman, then you can get it printed on your card!

Numberless and Secure: FamCard has no numbers printed on the physical card which makes it very secure. The card number and other details (expiry date, CVV) are stored securely within the FamPay app instead of being printed on the physical card. There’s no fear of card information getting disclosed in case it gets stolen or lost and the card can be paused, blocked and managed at fingertips on the app. Additionally, the card details within the app can be accessed only with device lock like fingerprint, face ID, pattern lock or PIN.

Contactless and Safe: It also has the feature of Tap N Pay, through which teens can transact at offline merchants (upto INR.2000) by tapping their card against the POS (Point of Sale) machines."
"1685438711-111","https://famapp.in/faqs","FamCard features","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","What is a FamCard?","https://famapp.in/faqs/question/gKE/fampay-what-is-a-famcard","What is a FamCard?"
"1685438711-112","https://famapp.in/faqs","FamCard features","https://famapp.in/faqs/subcategory/famcardftrs?title=FamCard%20features","What is a FamCard?","https://famapp.in/faqs/question/gKE/fampay-what-is-a-famcard","FamCard is a numberless prepaid card cobranded and issued by IDFC FIRST bank. 

As soon as you create an account with us, you'll be able to access your card in the app for all your online purchases. To swipe the card at offline merchants, you need to place an order for the physical card."
